Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
1369       (0 4 1 1 2)     7.221                76.423              
1370       (5 3 2 1 2)     11.661               76.426              
1371       (3 1 2 1 2)     7.567                76.414              
1372       (3 3 2 1 2)     15.394               76.431              
1373       (5 1 2 1 3)     8.249                76.419              
1374       (3 5 2 1 2)     12.422               76.436              
1375       (5 5 0 1 2)     7.282                76.424              
1376       (3 5 1 1 1)     10.200               76.442              
1377       (5 1 2 1 2)     7.506                76.430              
1378       (0 4 0 0 0)     12.493               76.389              
1379       (3 1 2 1 2)     7.261                76.377              
1380       (5 3 2 1 2)     12.862               76.394              
1381       (0 5 1 3 1)     7.209                76.397              
1382       (5 5 2 1 2)     12.780               76.399              
1383       (3 1 1 1 2)     7.260                76.402              
1384       (3 1 1 1 2)     12.103               76.404              
1385       (3 1 2 1 2)     10.138               76.407              
1386       (3 3 2 4 2)     7.251                76.410              
1387       (5 3 2 1 2)     7.916                76.412              
1388       (3 5 2 1 2)     12.317               76.415              
1389       (3 1 2 1 2)     7.200                76.417              
1390       (0 5 1 1 2)     7.916                76.405              
1391       (3 3 2 1 2)     12.349               76.422              
1392       (3 3 2 1 2)     7.200                76.439              
1393       (3 3 2 1 2)     12.186               76.456              
1394       (0 3 2 1 2)     7.230                76.459              
1395       (0 5 1 3 1)     13.056               76.447              
1396       (3 3 2 1 2)     13.210               76.464              
1397       (3 3 2 1 2)     7.343                76.481              
1398       (6 5 1 1 2)     10.156               76.497              
1399       (3 3 2 1 2)     7.382                76.514              
1400       (3 1 2 1 2)     12.184               76.517              
1401       (5 3 2 1 2)     7.235                76.534              
1402       (3 6 2 1 2)     12.718               76.536              
1403       (7 5 1 3 1)     7.261                76.524              
1404       (0 3 1 0 0)     12.811               76.498              
1405       (5 3 2 1 2)     7.260                76.515              
1406       (3 1 2 1 2)     13.056               76.503              
1407       (3 5 1 1 2)     7.220                76.506              
1408       (3 3 2 1 2)     12.391               76.522              
1409       (3 3 2 1 2)     7.240                76.539              
1410       (4 3 2 1 2)     8.019                76.541              
1411       (3 1 2 1 1)     7.997                76.530              
1412       (3 1 2 1 2)     12.381               76.532              
1413       (5 3 2 1 1)     7.322                76.535              
1414       (3 5 1 1 1)     10.127               76.537              
1415       (3 5 1 2 1)     8.171                76.540              
1416       (4 3 2 0 2)     12.299               76.542              
1417       (5 1 2 1 2)     7.189                76.530              
1418       (0 4 1 0 1)     10.097               76.519              
1419       (3 1 2 1 2)     7.400                76.521              
1420       (3 1 2 1 1)     12.847               76.538              
1421       (3 5 1 1 2)     7.268                76.554              
1422       (3 1 2 1 2)     12.555               76.543              
1423       (3 3 2 1 2)     7.208                76.559              
1424       (5 1 2 1 2)     11.971               76.575              
1425       (3 5 2 1 2)     13.537               76.578              
1426       (3 3 2 1 2)     13.394               76.594              
1427       (0 3 0 2 1)     7.269                76.583              
1428       (3 1 2 1 2)     10.117               76.585              
1429       (5 3 2 1 1)     7.414                76.587              
1430       (3 1 2 1 2)     12.175               76.590              
1431       (3 1 1 3 1)     13.424               76.578              
1432       (2 3 0 2 2)     13.518               76.553              
1433       (3 5 2 1 2)     7.219                76.541              
1434       (3 1 2 1 1)     12.380               76.544              
1435       (3 5 2 1 2)     7.250                76.560              
1436       (3 3 2 1 2)     12.851               76.576              
1437       (3 3 2 1 2)     7.269                76.592              
1438       (3 5 1 1 1)     12.508               76.609              
1439       (0 1 1 2 1)     7.310                76.569              
1440       (3 6 0 2 3)     12.348               76.544              
1441       (3 3 2 1 2)     7.279                76.560              
1442       (4 5 2 1 2)     10.086               76.577              
1443       (7 4 0 2 1)     7.292                76.537              
1444       (3 1 1 1 2)     10.098               76.540              
1445       (3 3 2 1 2)     13.158               76.556              
1446       (3 3 2 1 2)     7.218                76.572              
1447       (3 3 2 4 2)     8.845                76.575              
1448       (0 5 1 1 1)     7.496                76.563              
1449       (5 5 2 1 2)     12.832               76.566              
1450       (0 4 1 2 1)     13.487               76.554              
1451       (3 1 2 1 2)     7.220                76.556              
1452       (3 1 1 1 2)     12.606               76.559              
1453       (5 5 1 1 1)     7.241                76.561              
1454       (5 5 0 1 1)     10.978               76.550              
1455       (0 5 1 3 1)     7.240                76.525              
1456       (0 3 1 1 1)     12.299               76.513              
1457       (3 1 2 1 2)     7.199                76.516              
1458       (3 5 1 1 2)     7.915                76.518              
1459       (5 4 0 2 3)     12.647               76.479              
1460       (3 1 2 1 2)     7.230                76.482              
1461       (5 1 2 1 2)     12.330               76.484              
1462       (3 1 2 1 2)     7.218                76.500              
1463       (3 5 2 1 1)     12.380               76.503              
1464       (3 3 2 1 2)     13.250               76.519              
1465       (0 5 2 2 2)     7.178                76.494              
1466       (2 5 0 5 0)     12.248               76.455              
1467       (3 1 2 1 2)     7.946                76.471              
1468       (3 5 2 1 2)     7.987                76.487              
1469       (3 3 2 1 2)     12.923               76.503              
1470       (0 4 1 2 1)     7.241                76.479              
1471       (3 3 2 1 1)     12.421               76.495              
1472       (3 3 2 1 2)     7.209                76.511              
1473       (3 7 2 1 2)     12.145               76.499              
1474       (7 4 0 3 1)     7.292                76.461              
1475       (5 1 2 1 2)     12.256               76.477              
1476       (3 5 2 1 2)     7.214                76.479              
1477       (3 3 2 1 2)     12.298               76.482              
1478       (3 1 2 1 2)     7.247                76.471              
1479       (3 3 2 1 2)     12.586               76.486              
1480       (3 5 2 1 2)     7.230                76.502              
1481       (3 5 2 1 2)     12.882               76.518              
1482       (3 3 2 1 2)     7.219                76.534              
1483       (3 0 2 4 2)     12.166               76.523              
1484       (3 3 1 1 2)     7.210                76.539              
1485       (3 5 2 1 2)     10.137               76.541              
1486       (3 3 2 1 2)     7.343                76.557              
1487       (3 3 2 1 2)     12.872               76.573              
1488       (7 5 1 3 1)     7.250                76.548              
1489       (4 3 2 1 2)     12.412               76.564              
1490       (3 1 2 1 2)     7.200                76.579              
1491       (3 5 1 1 2)     13.866               76.582              
1492       (4 3 2 2 1)     7.258                76.571              
1493       (3 1 2 1 2)     12.201               76.573              
1494       (3 5 2 1 2)     13.098               76.575              
1495       (3 3 2 1 2)     7.246                76.591              
1496       (3 3 1 1 2)     12.453               76.607              
1497       (3 6 2 1 1)     7.272                76.609              
1498       (3 5 1 1 2)     12.871               76.624              
1499       (5 3 2 1 2)     7.177                76.640              
1500       (3 5 2 1 2)     11.878               76.656              
1501       (0 4 0 0 0)     7.281                76.618              
1502       (3 3 2 1 2)     12.687               76.620              
1503       (3 3 2 1 2)     7.184                76.636              
1504       (3 5 2 2 2)     12.749               76.625              
1505       (3 3 2 1 2)     7.261                76.640              
1506       (3 3 2 1 2)     10.076               76.656              
1507       (3 5 1 2 1)     7.362                76.631              
1508       (5 3 2 1 1)     12.974               76.647              
1509       (3 1 2 1 2)     7.219                76.649              
1510       (3 5 2 4 2)     12.790               76.651              
1511       (3 1 2 1 2)     7.215                76.653              
1512       (5 5 0 2 1)     12.444               76.642              
1513       (0 1 1 5 2)     7.249                76.631              
1514       (3 1 2 1 2)     12.685               76.634              
1515       (0 6 0 2 3)     7.257                76.609              
1516       (5 3 2 1 1)     12.592               76.612              
1517       (4 2 2 1 1)     7.226                76.601              
1518       (3 0 2 5 2)     12.449               76.590              
1519       (5 3 2 1 3)     7.185                76.592              
1520       (3 5 1 1 2)     12.059               76.594              
1521       (0 2 0 0 3)     7.245                76.557              
1522       (0 5 1 1 1)     12.068               76.559              
1523       (5 3 2 1 1)     10.054               76.562              
1524       (6 3 2 1 2)     7.432                76.577              
1525       (2 5 1 1 2)     12.849               76.592              
1526       (3 3 2 1 2)     7.197                76.608              
1527       (3 7 2 1 2)     12.705               76.610              
1528       (3 3 2 1 1)     7.206                76.599              
1529       (3 3 2 1 2)     7.934                76.614              
1530       (0 4 1 0 1)     12.501               76.604              
1531       (0 2 1 2 1)     7.227                76.580              
1532       (3 1 1 1 2)     13.116               76.569              
1533       (3 3 2 1 2)     7.206                76.584              
1534       (5 3 2 1 1)     12.409               76.599              
1535       (5 1 2 1 2)     13.363               76.615              
1536       (3 0 2 2 2)     11.528               76.604              
1537       (3 3 2 1 2)     7.249                76.619              
1538       (3 3 2 1 2)     10.083               76.634              
1539       (5 3 2 1 2)     7.453                76.649              
1540       (3 5 1 1 2)     12.756               76.652              
1541       (3 3 2 1 2)     7.216                76.667              
1542       (0 2 0 3 1)     12.634               76.643              
1543       (3 5 1 1 1)     7.247                76.658              
1544       (3 1 2 1 2)     12.071               76.660              
1545       (5 3 2 1 2)     7.195                76.675              
1546       (3 3 2 1 2)     12.141               76.677              
1547       (0 4 0 0 0)     7.207                76.641              
1548       (3 3 2 1 2)     13.011               76.656              
1549       (2 5 1 1 2)     7.267                76.671              
1550       (3 6 0 1 2)     11.666               76.673              
1551       (3 1 2 1 2)     9.572                76.675              
1552       (3 1 2 1 2)     10.073               76.677              
1553       (3 1 2 1 1)     8.240                76.692              
1554       (5 3 2 1 2)     10.084               76.682              
1555       (3 3 2 1 2)     7.401                76.697              
1556       (4 3 2 1 1)     12.327               76.699              
1557       (5 3 2 1 2)     7.176                76.688              
1558       (3 3 2 1 2)     7.953                76.703              
1559       (3 3 2 1 2)     7.945                76.718              
1560       (3 5 2 1 2)     12.664               76.720              
1561       (5 3 2 1 2)     7.237                76.735              
1562       (3 3 2 1 2)     12.358               76.750              
1563       (5 3 2 1 2)     7.227                76.752              
1564       (3 3 2 1 2)     12.418               76.767              
1565       (0 3 1 0 0)     7.227                76.743              
1566       (5 3 2 1 1)     12.470               76.758              
1567       (5 1 1 1 2)     7.238                76.760              
1568       (3 1 1 1 2)     12.428               76.762              
1569       (3 3 2 1 2)     7.257                76.764              
1570       (3 1 1 1 2)     12.153               76.766              
1571       (3 3 2 1 2)     7.257                76.781              
1572       (3 5 2 1 2)     12.357               76.796              
1573       (0 5 1 3 1)     7.186                76.785              
1574       (3 1 2 1 2)     12.162               76.787              
1575       (3 5 1 1 2)     7.237                76.802              
1576       (3 1 1 1 2)     13.494               76.804              
1577       (0 4 0 5 3)     7.215                76.755              
1578       (3 3 2 1 2)     7.925                76.770              
1579       (5 1 2 1 2)     13.779               76.772              
1580       (3 1 2 1 2)     7.278                76.774              
1581       (5 1 1 1 1)     12.326               76.776              
1582       (5 3 2 1 2)     7.227                76.791              
1583       (3 5 2 1 1)     12.265               76.806              
1584       (3 5 0 3 3)     7.248                76.782              
1585       (6 3 2 1 2)     12.265               76.784              
1586       (4 2 0 2 1)     7.268                76.749              
1587       (5 3 2 1 2)     12.397               76.738              
1588       (3 7 2 1 2)     7.225                76.740              
1589       (3 3 2 1 2)     12.874               76.755              
1590       (2 0 0 5 0)     7.266                76.719              
1591       (3 1 2 1 2)     12.622               76.721              
1592       (3 1 2 1 2)     13.093               76.723              
1593       (4 3 2 1 1)     7.196                76.713              
1594       (7 3 0 0 0)     12.273               76.677              
1595       (5 3 2 1 2)     7.205                76.679              
1596       (3 3 2 1 2)     12.726               76.681              
1597       (3 3 2 4 2)     7.206                76.683              
1598       (3 3 2 1 2)     12.920               76.698              
1599       (2 5 1 1 2)     7.226                76.675              
1600       (3 3 2 1 2)     13.095               76.690              
1601       (3 5 2 1 2)     7.237                76.704              
1602       (3 3 2 1 2)     12.900               76.719              
1603       (3 1 2 1 2)     7.247                76.708              
1604       (3 1 2 1 2)     12.384               76.710              
1605       (3 5 2 1 2)     7.267                76.712              
1606       (5 3 2 1 1)     12.406               76.714              
1607       (3 5 2 1 2)     7.268                76.729              
1608       (5 5 2 1 2)     12.849               76.743              
1609       (0 6 0 2 1)     7.258                76.733              
1610       (3 1 1 1 2)     12.429               76.747              
1611       (3 4 0 5 3)     7.247                76.725              
1612       (4 3 2 1 2)     12.220               76.727              
1613       (3 1 2 1 2)     7.196                76.716              
1614       (5 1 1 2 1)     8.967                76.681              
1615       (6 3 2 1 2)     7.371                76.683              
1616       (3 1 1 1 1)     12.869               76.685              
1617       (4 3 0 0 0)     7.206                76.650              
1618       (3 5 2 1 2)     13.084               76.652              
1619       (3 3 2 1 2)     7.279                76.667              
1620       (3 1 2 1 2)     13.166               76.669              
1621       (7 2 0 2 0)     7.185                76.621              
1622       (3 3 2 1 2)     12.275               76.636              
1623       (3 1 1 1 2)     7.236                76.613              
1624       (3 1 2 1 2)     12.910               76.615              
1625       (3 5 2 1 2)     7.237                76.617              
1626       (5 1 2 1 2)     12.357               76.607              
1627       (3 7 2 1 2)     7.339                76.609              
1628       (5 3 0 0 0)     10.099               76.575              
1629       (3 5 2 5 2)     7.350                76.564              
1630       (0 3 2 2 2)     13.084               76.554              
1631       (3 5 2 2 2)     7.359                76.544              
1632       (3 1 2 1 2)     10.114               76.546              
1633       (3 5 2 1 2)     7.349                76.561              
1634       (3 5 1 1 1)     12.624               76.575              
1635       (3 5 1 1 2)     7.237                76.577              
1636       (3 7 2 1 2)     7.954                76.579              
1637       (3 1 1 1 2)     12.276               76.581              
1638       (3 5 2 1 2)     7.267                76.583              
1639       (3 3 2 1 2)     12.010               76.598              
1640       (3 5 1 2 1)     13.206               76.600              
1641       (3 1 2 1 2)     13.311               76.602              
1642       (3 5 1 3 1)     13.400               76.592              
1643       (3 7 2 1 2)     7.451                76.606              
1644       (5 2 0 5 3)     10.084               76.559              
1645       (0 5 1 3 1)     10.103               76.537              
1646       (3 3 2 1 2)     7.514                76.551              
1647       (3 5 2 1 2)     12.592               76.553              
1648       (3 1 2 1 2)     7.267                76.555              
1649       (3 3 2 1 2)     12.322               76.570              
1650       (0 4 0 0 0)     7.236                76.535              
1651       (3 5 2 1 2)     13.565               76.550              
1652       (3 5 1 1 2)     7.206                76.564              
1653       (5 5 2 1 2)     12.921               76.554              
1654       (0 7 2 1 2)     7.216                76.556              
1655       (3 1 1 1 2)     12.767               76.546              
1656       (3 3 2 1 2)     7.175                76.548              
1657       (3 1 2 1 2)     12.736               76.550              
1658       (3 3 2 1 2)     7.206                76.564              
1659       (0 4 0 0 3)     12.982               76.530              
1660       (3 3 2 1 2)     7.197                76.544              
1661       (3 3 2 1 2)     12.326               76.558              
1662       (3 3 2 1 2)     7.195                76.572              
1663       (6 7 1 1 2)     7.949                76.587              
1664       (5 3 2 1 1)     13.092               76.589              
1665       (3 5 2 1 2)     7.194                76.591              
1666       (3 1 2 1 2)     7.850                76.593              
1667       (0 5 1 3 1)     12.286               76.571              
1668       (3 1 2 5 2)     7.226                76.561              
1669       (3 5 1 1 2)     12.724               76.563              
1670       (3 1 2 1 2)     7.216                76.565              
1671       (5 5 0 1 1)     13.534               76.555              
1672       (3 1 2 1 1)     8.431                76.545              
1673       (6 1 1 1 1)     7.236                76.535              
1674       (3 1 2 1 2)     12.941               76.537              
1675       (0 3 0 4 0)     7.279                76.516              
1676       (3 3 2 1 2)     8.865                76.530              
1677       (3 1 2 1 2)     7.329                76.532              
1678       (3 1 2 1 2)     12.429               76.534              
1679       (3 1 2 1 2)     7.309                76.536              
1680       (3 1 2 1 2)     13.096               76.538              
1681       (3 5 1 1 1)     7.217                76.552              
1682       (5 4 0 2 3)     12.787               76.506              
1683       (3 1 2 1 2)     7.206                76.508              
1684       (3 5 1 1 2)     12.316               76.499              
1685       (3 5 2 1 2)     13.432               76.512              
1686       (3 3 2 1 2)     7.205                76.526              
1687       (3 3 2 1 2)     8.876                76.540              
1688       (3 1 1 1 2)     7.360                76.542              
1689       (3 3 2 1 2)     12.009               76.544              
1690       (3 1 2 1 2)     7.206                76.558              
1691       (3 3 2 1 2)     10.066               76.572              
1692       (3 1 2 1 2)     7.238                76.574              
1693       (3 1 1 3 1)     12.296               76.576              
1694       (3 5 2 1 2)     13.186               76.578              
1695       (3 1 2 1 2)     7.217                76.568              
1696       (3 3 2 1 2)     12.592               76.582              
1697       (5 3 2 1 2)     7.206                76.596              
1698       (5 3 1 5 1)     13.013               76.574              
1699       (5 3 2 1 2)     7.207                76.576              
1700       (3 3 2 1 2)     12.676               76.590              
1701       (0 5 1 1 1)     13.453               76.580              
1702       (3 3 2 1 2)     7.227                76.594              
1703       (3 3 2 1 2)     12.583               76.608              
1704       (3 6 1 1 2)     7.227                76.610              
1705       (3 3 2 1 2)     12.695               76.624              
1706       (5 3 2 1 1)     7.207                76.626              
1707       (3 5 1 1 2)     12.603               76.639              
1708       (3 5 1 1 1)     7.206                76.653              
1709       (5 3 2 1 2)     7.871                76.667              
1710       (3 1 2 1 2)     12.255               76.669              
1711       (3 5 1 1 1)     7.241                76.682              
1712       (3 3 1 1 2)     12.050               76.684              
1713       (3 1 2 1 2)     7.246                76.698              
1714       (3 5 2 1 2)     13.515               76.711              
1715       (3 3 2 1 2)     7.216                76.725              
1716       (5 3 2 1 2)     13.843               76.727              
1717       (1 0 0 5 3)     7.237                76.682              
1718       (3 3 2 1 2)     12.088               76.696              
1719       (3 3 2 1 2)     10.125               76.698              
1720       (3 5 2 1 2)     7.452                76.711              
1721       (3 1 2 1 2)     12.460               76.713              
1722       (4 4 0 2 0)     13.433               76.669              
1723       (5 3 2 1 2)     13.289               76.659              
1724       (3 5 2 1 2)     7.195                76.661              
1725       (3 5 1 2 1)     12.971               76.651              
1726       (0 4 0 0 0)     7.226                76.618              
1727       (3 3 2 1 2)     12.941               76.632              
1728       (5 5 2 1 1)     7.298                76.622              
1729       (3 5 1 3 1)     12.664               76.613              
1730       (3 5 2 1 2)     7.238                76.615              
1731       (3 3 2 1 2)     8.076                76.628              
1732       (3 1 2 1 2)     10.105               76.630              
1733       (3 3 2 1 2)     7.442                76.644              
1734       (3 1 2 1 2)     12.910               76.646              
1735       (3 5 2 1 2)     7.201                76.647              
1736       (5 3 0 5 1)     12.122               76.626              
1737       (5 3 2 1 2)     7.194                76.628              
1738       (5 1 2 1 2)     12.181               76.619              
1739       (3 3 2 1 2)     7.215                76.632              
1740       (5 3 2 1 1)     12.038               76.646              
1741       (3 3 2 1 2)     7.226                76.659              
1742       (3 5 2 1 1)     13.748               76.661              
1743       (5 3 2 1 2)     7.205                76.674              
1744       (3 5 2 1 2)     12.857               76.676              
1745       (0 6 1 1 1)     7.287                76.667              
1746       (3 1 2 1 2)     12.469               76.669              
1747       (5 3 2 1 2)     7.217                76.659              
1748       (5 3 2 1 2)     12.807               76.672              
1749       (5 7 2 1 1)     7.268                76.674              
1750       (3 1 2 2 2)     13.187               76.676              
1751       (3 3 2 1 2)     13.494               76.667              
1752       (3 5 1 1 2)     7.236                76.669              
1753       (4 1 1 1 2)     12.929               76.670              
1754       (0 5 1 1 1)     13.740               76.672              
1755       (5 3 1 2 1)     13.657               76.651              
1756       (3 1 2 1 2)     7.237                76.653              
1757       (3 1 1 1 2)     12.736               76.655              
1758       (5 1 1 1 1)     7.247                76.657              
1759       (0 5 1 3 1)     12.132               76.636              
1760       (7 4 0 0 0)     7.207                76.593              
1761       (3 3 2 1 2)     13.094               76.595              
1762       (3 3 2 1 2)     7.216                76.608              
1763       (3 1 2 1 2)     12.715               76.610              
1764       (7 5 1 3 1)     7.206                76.601              
1765       (3 3 2 1 2)     13.052               76.591              
1766       (3 5 2 1 2)     13.514               76.604              
1767       (3 1 2 1 2)     7.247                76.606              
1768       (5 3 2 1 2)     12.560               76.620              
1769       (3 5 1 3 2)     7.247                76.610              
1770       (3 1 2 1 2)     12.931               76.612              
1771       (3 3 2 1 2)     7.216                76.625              
1772       (3 6 2 1 1)     12.992               76.605              
1773       (3 3 2 1 2)     7.226                76.618              
1774       (3 1 2 1 2)     12.951               76.608              
1775       (5 3 2 1 2)     7.206                76.599              
1776       (3 1 2 1 2)     12.818               76.612              
1777       (3 3 2 1 2)     7.216                76.614              
1778       (3 5 2 1 2)     12.930               76.616              
1779       (0 5 1 3 1)     7.237                76.607              
1780       (5 6 2 1 2)     12.726               76.597              
1781       (2 1 1 1 2)     7.206                76.611              
1782       (3 1 2 1 2)     12.737               76.601              
1783       (3 3 2 1 2)     7.195                76.603              
1784       (4 3 2 2 2)     12.593               76.605              
1785       (3 5 2 1 2)     9.867                76.618              
1786       (5 1 2 1 2)     11.641               76.609              
1787       (3 5 2 1 2)     7.256                76.622              
1788       (3 1 2 1 1)     13.166               76.624              
1789       (5 3 2 1 2)     13.544               76.626              
1790       (5 3 2 5 2)     7.206                76.628              
1791       (5 1 2 1 2)     12.286               76.629              
1792       (3 1 2 1 2)     7.257                76.631              
1793       (3 1 2 1 2)     12.388               76.622              
1794       (0 5 1 1 1)     13.688               76.624              
1795       (3 3 2 1 2)     13.106               76.626              
1796       (0 3 0 4 0)     10.114               76.605              
1797       (3 5 2 1 2)     7.535                76.618              
1798       (6 5 0 3 1)     12.725               76.598              
1799       (3 5 2 1 2)     7.258                76.600              
1800       (5 0 0 5 2)     12.449               76.569              
1801       (3 1 1 1 2)     13.319               76.570              
1802       (3 5 2 1 2)     7.237                76.572              
1803       (3 5 2 1 2)     12.674               76.585              
1804       (3 5 2 5 2)     8.159                76.587              
1805       (0 5 1 2 2)     10.145               76.578              
1806       (3 5 1 1 1)     7.482                76.580              
1807       (4 3 2 1 2)     12.193               76.560              
1808       (0 3 2 1 1)     7.195                76.551              
1809       (3 1 2 1 2)     12.899               76.552              
1810       (3 1 2 1 2)     7.266                76.554              
1811       (3 6 2 1 2)     12.898               76.567              
1812       (3 1 2 1 2)     7.196                76.569              
1813       (3 3 2 1 2)     12.273               76.582              
1814       (3 3 2 1 2)     7.205                76.595              
1815       (3 3 2 1 2)     12.424               76.608              
1816       (0 1 1 2 2)     7.232                76.588              
1817       (3 1 2 1 2)     12.807               76.590              
1818       (5 3 2 1 2)     7.237                76.581              
1819       (4 3 2 1 1)     13.308               76.582              
1820       (3 3 2 1 2)     7.258                76.595              
1821       (3 5 2 1 1)     9.480                76.597              
1822       (3 5 2 1 2)     13.360               76.610              
1823       (3 3 2 1 2)     7.197                76.623              
1824       (3 3 2 1 2)     13.924               76.636              
1825       (3 3 2 1 2)     7.544                76.648              
1826       (3 5 1 1 2)     12.768               76.661              
1827       (3 3 1 1 2)     7.206                76.674              
1828       (5 3 2 1 2)     12.255               76.687              
1829       (3 3 2 1 2)     7.216                76.699              
1830       (5 3 2 1 2)     13.067               76.701              
1831       (3 1 1 1 2)     7.206                76.703              
1832       (3 1 2 1 2)     12.419               76.705              
1833       (3 3 2 1 2)     7.185                76.718              
1834       (3 1 0 5 2)     12.962               76.708              
1835       (3 1 2 1 2)     7.236                76.699              
1836       (3 3 2 1 2)     9.418                76.701              
1837       (5 1 0 1 2)     7.371                76.692              
1838       (3 3 2 1 2)     12.387               76.705              
1839       (3 5 1 1 2)     7.201                76.707              
1840       (3 3 2 1 2)     12.386               76.719              
1841       (0 5 1 1 1)     7.390                76.721              
1842       (5 3 2 1 1)     10.124               76.734              
1843       (3 1 1 1 2)     7.441                76.735              
1844       (3 3 2 1 2)     12.941               76.748              
1845       (3 5 2 1 2)     7.216                76.750              
1846       (3 5 2 1 2)     12.449               76.762              
1847       (3 5 1 1 2)     7.238                76.775              
1848       (3 1 2 1 2)     12.490               76.777              
1849       (0 1 1 1 2)     7.226                76.768              
1850       (0 1 1 2 1)     12.398               76.769              
1851       (2 5 1 1 2)     7.288                76.771              
1852       (5 3 2 1 2)     12.440               76.762              
1853       (3 5 1 1 2)     7.349                76.775              
1854       (3 5 2 1 2)     12.788               76.787              
1855       (2 5 1 1 1)     7.227                76.778              
1856       (3 1 2 1 2)     12.674               76.780              
1857       (3 0 0 5 3)     7.247                76.749              
1858       (2 5 0 2 0)     12.838               76.719              
1859       (3 3 2 1 2)     7.259                76.731              
1860       (3 3 2 1 2)     12.632               76.744              
1861       (3 3 2 1 2)     7.186                76.756              
1862       (3 1 2 1 2)     12.563               76.758              
1863       (3 5 2 5 2)     7.236                76.760              
1864       (3 5 2 1 2)     13.043               76.761              
1865       (0 5 1 3 1)     7.218                76.752              
1866       (5 1 2 1 2)     13.443               76.743              
1867       (0 3 0 2 1)     7.218                76.734              
1868       (3 1 1 1 2)     12.460               76.726              
1869       (3 1 2 1 2)     7.217                76.727              
1870       (3 3 2 1 2)     8.917                76.740              
1871       (3 1 2 1 2)     7.381                76.741              
1872       (3 1 1 1 2)     12.849               76.743              
1873       (3 1 0 5 2)     13.535               76.734              
1874       (3 5 1 2 1)     7.227                76.725              
1875       (3 3 2 1 2)     12.849               76.738              
1876       (3 3 2 1 2)     13.453               76.750              
1877       (3 3 2 1 2)     7.174                76.752              
1878       (5 3 2 1 2)     12.275               76.743              
1879       (3 1 2 1 2)     7.258                76.745              
1880       (5 1 2 1 2)     12.622               76.736              
1881       (3 3 2 1 2)     7.206                76.748              
1882       (3 1 2 1 2)     13.011               76.750              
1883       (4 5 2 1 2)     7.215                76.752              
1884       (3 5 2 1 2)     12.489               76.764              
1885       (3 1 1 1 2)     7.257                76.755              
1886       (3 3 2 1 2)     12.408               76.757              
1887       (0 4 1 0 3)     7.227                76.727              
1888       (3 1 0 5 2)     12.439               76.718              
1889       (0 5 1 3 1)     7.298                76.709              
1890       (3 5 2 1 2)     12.449               76.721              
1891       (4 3 2 2 1)     7.164                76.712              
1892       (3 5 1 1 2)     12.612               76.725              
1893       (0 5 1 3 1)     7.216                76.705              
1894       (3 1 2 4 2)     12.358               76.697              
1895       (2 5 2 1 2)     7.233                76.688              
1896       (0 1 1 2 1)     12.265               76.690              
1897       (3 1 2 1 2)     7.206                76.702              
1898       (5 3 2 1 2)     12.920               76.714              
1899       (5 3 2 1 2)     7.186                76.726              
1900       (3 3 2 1 2)     12.695               76.739              
1901       (5 1 2 1 2)     7.228                76.719              
1902       (3 1 2 1 1)     12.808               76.721              
1903       (3 1 2 1 2)     7.944                76.723              
1904       (3 5 1 1 1)     7.933                76.735              
1905       (5 3 0 1 1)     8.363                76.726              
1906       (3 3 1 1 2)     7.349                76.738              
1907       (3 3 2 1 2)     10.094               76.751              
1908       (3 3 2 1 2)     13.383               76.763              
1909       (3 5 2 1 2)     7.206                76.764              
1910       (3 5 1 1 2)     12.562               76.766              
1911       (3 1 1 1 2)     7.453                76.768              
1912       (3 1 2 1 2)     10.094               76.780              
1913       (3 3 2 1 2)     7.268                76.782              
1914       (5 3 2 5 1)     12.725               76.773              
1915       (3 3 1 1 2)     7.206                76.785              
1916       (3 5 1 1 2)     12.838               76.797              
1917       (3 3 2 1 2)     7.206                76.809              
1918       (2 1 1 1 2)     12.479               76.800              
1919       (3 1 2 1 2)     13.484               76.812              
1920       (5 3 2 1 1)     7.218                76.825              
1921       (3 5 2 1 2)     12.696               76.837              
1922       (0 3 1 1 1)     7.248                76.828              
1923       (0 4 0 2 3)     13.248               76.798              
1924       (3 3 2 1 2)     7.187                76.810              
1925       (3 3 2 1 1)     12.244               76.822              
1926       (3 3 2 4 2)     7.237                76.824              
1927       (3 1 2 1 2)     12.234               76.826              
1928       (3 3 2 1 2)     7.382                76.838              
1929       (3 7 2 1 2)     10.134               76.839              
1930       (5 3 2 1 1)     7.361                76.841              
1931       (0 1 1 1 1)     13.084               76.812              
1932       (3 3 2 1 2)     7.207                76.824              
1933       (3 5 2 2 2)     12.348               76.815              
1934       (0 7 2 1 1)     7.186                76.806              
1935       (3 3 2 1 2)     12.695               76.818              
1936       (3 1 0 2 2)     7.247                76.799              
1937       (3 5 2 1 2)     12.601               76.801              
1938       (3 3 2 1 2)     13.404               76.813              
1939       (3 1 2 1 2)     7.249                76.814              
1940       (6 3 2 1 2)     12.970               76.816              
1941       (2 6 1 2 2)     13.063               76.818              
1942       (3 5 2 1 2)     7.288                76.830              
1943       (3 1 2 1 2)     13.759               76.831              
1944       (3 5 2 1 2)     7.248                76.843              
1945       (0 4 1 0 1)     12.817               76.824              
1946       (5 3 2 1 2)     7.217                76.836              
1947       (3 1 2 1 2)     13.074               76.828              
1948       (3 5 1 1 2)     7.452                76.829              
